,name,status
27756,سعمح نواف ميمونة,0.0
13632,رغيد عبدالبصير مقتدي,1.0
28783,عليان روكن جليل,0.0
4888,ابتسام نجدت مفتاح,1.0
19639,عائشة راقيق مطاوع,0.0
29977,مدرظ شهلاء سهام,0.0
6369,حسين أشرم عارف,1.0
7463,صمد تامر سطام,1.0
30785,هبة أشيز تليد,0.0
24806,أمنيف جععان طيف,0.0
5811,لجين نزيه نجم الدين,1.0
43,ضاري أخزم ساهد,1.0
8115,رائض سمير مناع,1.0
2316,راحيل مقرن بهلول,1.0
25108,ىدلج سارح سداد,0.0
23863,عرفة صمر حفصة,0.0
12301,مخلصة يوسف مقتدي,1.0
29323,فواز فاشق إبصاف,0.0
16831,مصلح أشجان سلءى,0.0
26402,كرم ثويبة يياد,0.0
4376,مطاعة فريج بدر,1.0
15763,غسام عبدالخالق نعيم,0.0
7062,عهود مرسي شبل,1.0
10017,فاتن أمان إسماعيل,1.0
9451,ميمونة عمار زكريا,1.0
3162,جوهرة تيم أشرف,1.0
26175,فاض ظوراء خديجة,0.0
18920,إحلال وسيم مطاآة,0.0
30911,جواد خضر رضر,0.0
31702,انشراف قعقحع تامر,0.0
28022,مأيب عوآ فجر,0.0
23151,صافي دانة ئداء,0.0
30180,زبير ميمون ثئئر,0.0
2839,رشيقة مغيرة نبيه,1.0
12762,عبدالرحيم صفوت حجاب,1.0
9641,ناهية نشمي عبدو,1.0
20419,ععسى باسطة غالد,0.0
19575,ربى مطاوع عجاد,0.0
29461,ظمير عقال قابس,0.0
25924,ساعرة ديمة مصطفى,0.0
21251,بدكع سادن زهرة,0.0
12814,ازدهار فؤاد رشيق,1.0
31105,المى اؤتصار خميس,0.0
26606,دسيم جنادة لماح,0.0
27753,عبشدة منى مطيع,0.0
1837,متعب منصور مفتاح,1.0
5812,حفصة حافظ ميمون,1.0
19921,ماهرة حنآلة شيبة,0.0
100,محجن سمعان مدرك,1.0
15911,يم سرمى أزهار,0.0
3225,مجاهدة فواز جابر,1.0
3083,ريا سلام عبدالرحيم,1.0
7346,تيسير صادر البراء,1.0
14247,اعتدال أشهب رافق,1.0
27664,ألرف عبدالوهاب ماهرة,0.0
26844,أنسام شافع شافي,0.0
14523,فرج جازم الحبيب,1.0
13737,رحيق سميع ربحي,1.0
26678,سلام منتظر بظول,0.0
21863,عبدالرحيم فتون نلريم,0.0
23703,تمام ظمل هاجد,0.0
16946,عبدالحق نثم نوف,0.0
12283,ساندرا رسول مروان,1.0
10798,هبيرة عز حيدر,1.0
13564,صهيب أصيل سالم,1.0
29335,طاهر مزاحي عرفة,0.0
5977,إيناس بارح خالص,1.0
19005,نادر غوام صفاف,0.0
14908,عالية أجاويد خميس,1.0
15748,مءاير بانة هادي,0.0
24631,عبدالفتدح بلقيس عصاك,0.0
12958,صبا عبده مبارك,1.0
15604,فكجية مسلمة لبانة,0.0
16827,أسلم عديأ أوس,0.0
21008,مطلل نواص ئمنة,0.0
406,ميساء جرجس صدام,1.0
1492,انشراف ميمون نجم الدين,1.0
8740,تالا فهيم قاهر,1.0
8038,مجير مخلد أسامة,1.0
10337,لميس غلام فخري,1.0
15962,صخبر ذراب حنان,0.0
22429,أثير رضوى شادغ,0.0
8471,سها صارم حمدون,1.0
4578,فهدة مظهر بارح,1.0
30213,ميسون الحبيب رأذت,0.0
26594,زبير عذرري يزيد,0.0
2512,زهرة عبدي مكين,1.0
15278,تواب نصيف عفيف,1.0
30552,عبدالحليم نوري أدهء,0.0
24078,مظينة ثراء أسماء,0.0
15111,تواب صابر محمد,1.0
11910,ميثاء أزور رغيب,1.0
24650,فتعي سامر فنن,0.0
13832,نجوانة معلوف داني,1.0
30526,خباب وائل عنى,0.0
29978,عريب عبدالمله أميمة,0.0
9173,غياث عريب زبير,1.0
26773,ظافر داقي ناشئ,0.0
7499,زياد أرغد نايف,1.0
13884,سرمد هيثم تواب,1.0
28570,عبدجلحفيظ ابتهال صضام,0.0
13064,سهاد نجاد أسامة,1.0
28454,رفاعي مريذ سعدة,0.0
12848,هواري دحام زكريا,1.0
31186,قازن بدرية إسماعيئ,0.0
26948,مازن كرث عنبر,0.0
14836,رهيفة مسلمة فضل,1.0
24388,فهيمة اعتدال قاسب,0.0
1276,صميم ساجع نورس,1.0
27234,يؤن جعفر ثوئر,0.0
19185,زاهآ ناشل عثمان,0.0
19951,شمر مضيب عبدالقدوس,0.0
5717,سلمة عيضة شهم,1.0
11270,تيسير فاروق معاد,1.0
27714,فوزظ عخر عوض,0.0
9421,ابتسام أنور خزعل,1.0
1719,بسام طريف سلامه,1.0
21042,يحيى وفيذ عريب,0.0
1913,دعيج عروة بسام,1.0
14732,شكور البراء مصلح,1.0
7709,عذاري غنيم مرشدي,1.0
15738,عبدالحكيم فخرية رابإة,0.0
16810,مطر بسمة شغاع,0.0
27883,بعهر سبع عبدةلعليم,0.0
28247,صابرت شجون عإبدة,0.0
10688,يحيى ربيح باسط,1.0
2920,نصار عبدالهادي بطاح,1.0
14483,دانا مارسيل غالب,1.0
15979,سبا مغيثة يأنى,0.0
18410,وسمي جويرية يويلد,0.0
